iso3,name,lat,lng,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,multitasking_pct,working_age_pop,gdp_2024,top_topic,top_topic_pct
SWE,Sweden,62.73420986108448,17.062431988004956,0.46,2.98,38.11,44.96,16.93,44.3,55.7,2.65,23.39,6581488.0,610118000000.0,Content Creation & Copywriting,19.68
TGO,Togo,8.660743037717811,0.8990857571109684,0.03,0.22,39.53,34.17,26.3,52.28,47.72,2.84,22.4,5448495.0,9776000000.0,Content Creation & Copywriting,28.76
THA,Thailand,13.66222784745538,101.08675116214552,0.86,0.73,53.12,37.04,9.84,52.54,47.46,2.81,19.74,50087170.0,526410999999.99994,Content Creation & Copywriting,20.15
TTO,Trinidad and Tobago,10.415515638298093,-61.37236579976247,0.02,1.05,44.66,39.48,15.85,51.9,48.1,2.84,25.28,955936.0,25524000000.0,Content Creation & Copywriting,24.41
TUN,Tunisia,34.08636179565723,9.65587551697984,0.27,1.4,27.94,20.54,51.52,49.79,50.21,2.75,18.89,8155858.0,53063000000.0,Education & Learning,28.16
TUR,Turkey,38.93207363123396,35.56886764076691,0.88,0.64,40.37,43.34,16.29,50.0,50.0,2.76,18.56,58380949.0,1322405000000.0,Software Development,18.68
TWN,Taiwan,23.7,121.0,0.79,2.08,47.06,40.9,12.04,49.66,50.34,2.77,21.02,16169127.0,782441000000.0,Content Creation & Copywriting,19.78
TZA,Tanzania,-6.355794440041147,34.81832206060381,0.06,0.07,44.55,25.26,30.18,54.86,45.14,2.89,19.36,37309677.0,80171000000.0,Content Creation & Copywriting,26.85
UGA,Uganda,1.2821729218416205,32.34371768463123,0.07,0.11,42.06,24.82,33.12,56.02,43.98,2.9,23.28,27142399.0,56453000000.0,Education & Learning,26.56
UKR,Ukraine,48.657532515563794,31.27377208442636,0.47,0.78,40.61,40.61,18.77,48.9,51.1,2.66,22.13,25422766.0,190426000000.0,Content Creation & Copywriting,24.66
URY,Uruguay,-32.78195043831093,-56.01919523458085,0.1,1.89,46.76,36.13,17.11,48.01,51.99,2.77,22.85,2223696.0,80961000000.0,Content Creation & Copywriting,20.69
USA,United States,38.8208089190304,-96.33161660829639,20.16,3.87,41.32,49.74,8.94,49.59,50.41,2.71,26.26,220210617.0,29184900000000.0,Content Creation & Copywriting,19.99
UZB,Uzbekistan,41.4879065244633,63.8548297593985,0.16,0.3,22.81,44.52,32.67,53.38,46.62,2.75,19.37,22919628.0,114962000000.0,Education & Learning,26.86
VNM,Vietnam,16.517347170839393,105.91338832758704,0.85,0.53,53.13,26.5,20.38,51.38,48.62,2.79,17.86,68397760.0,459472000000.0,Content Creation & Copywriting,24.91
ZAF,South Africa,-28.55361930679731,24.75252746489084,0.47,0.46,44.13,30.2,25.67,51.43,48.57,2.81,23.28,43157289.0,400191000000.0,Content Creation & Copywriting,23.63
ZMB,Zambia,-13.162832953186246,27.75521363430896,0.04,0.15,36.41,28.87,34.72,54.12,45.88,2.86,22.9,12063392.0,26326000000.0,Education & Learning,28.79
ZWE,Zimbabwe,-18.92700121981475,29.717829640720844,0.04,0.2,38.14,22.29,39.57,57.63,42.37,2.95,22.18,9236166.0,35224000000.0,Education & Learning,28.7
